"","Species","Pool-01-100","Pool-02-100","Pool-03-100","Pool-04-100","Pool-05-100","Pool-06-500","Pool-07-500","Pool-08-500","Pool-09-500","Pool-10-500","Pool-11-1000","Pool-12-1000","Pool-13-1000","Pool-14-1000","Pool-15-1000","Pool-C1-250","Pool-C2-250","Pool-C3-250","Pool-C4-250","Pool-C5-250","Pool-U1-250","Pool-U2-250","Pool-U3-250","Pool-U4-250","Pool-U5-250","Trap-01","Trap-02","Trap-03","Trap-04","Trap-05","Trap-06","Trap-07","Trap-08","Trap-09","Trap-10"
"1","Acizzia_alternata",0.000221149659041943,NA,0.0127115358520558,0.011164392113005,0.050983539994378,0.00481319965535114,NA,0.0410807902057536,0.0321088164068267,0.0166362844421501,0.00331502023183706,NA,0.0309844885821393,0.0139124487497834,0.0258652671548436,0.00484132712201737,NA,0.0545040343190788,0.0100712117173023,0.0399088179695319,0.00474178723599851,NA,0.0523399414847045,0.00949104085635451,0.0377807346477965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Acizzia_solanicola",0.236890043021588,NA,0.00762183301994689,0.0408997631369322,0.0122628603554362,0.0749281156224312,NA,0.0104305073375063,0.0881103810069813,0.0250330709169517,0.0759945375931364,NA,0.0145836644897449,0.0205352760293353,0.0233348861366788,0.117610830435448,NA,0.062100328313671,0.0911958401670336,0.0410177612890834,0.108627721684915,NA,0.0590629096148035,0.0858585664858728,0.0374581670093948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Acyrthosiphon_spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00141366498468252,NA,NA,NA,NA,NA,NA,NA
"4","Amischa_analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000160536957901094
"5","Aphis_spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00280451655476532,NA,NA,0.0128168655576684,NA,0.00648645756090849
"6","Bactericera_cockerelli",0.00171903961770748,NA,0.0533455618663617,0.000930219472008131,NA,0.000962309807637075,NA,0.00203631950066317,0.000258849290273594,NA,NA,NA,0.00325208481645018,0.00195526794479413,NA,0.000701616254401505,NA,0.032653807068096,NA,NA,0.000618886545948222,NA,0.0311634684699086,NA,NA,0.124118279067595,NA,NA,0.263709521039364,NA,NA,0.400254635155566,0.000334396414471878,NA,NA
"7","Brachycaudus_rumexicolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00197587434361762,0.00133716076198206,NA,0.0184139686396916,NA,0.000228773772578977,NA,NA,NA
"8","Brachycaudus_spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000808283744183184,NA,0.00109981041363346,0.00188008684788278,NA,NA,NA,NA
"9","Bradysia_pallipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000661927839886641,0.00057203800659298,NA,NA,NA,NA,NA,NA
"10","Brevicoryne_brassicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0106407933679708,NA,NA
